Name,Brand,Price,Speed,Spin,Tackiness,Overall
JOOLA Energy X-tra (Green Power),JOOLA,$57.00,8.3,8.5,1.3,9
JOOLA Express One,JOOLA,$55.00,9.4,8.8,2.2,9.2
JOOLA Express Two,JOOLA,$65.00,8.6,9,2.2,9
JOOLA Express X-plode,JOOLA,$54.00,9.2,8.8,4.5,9
JOOLA Express X-Soft,JOOLA,$52.00,7.7,8.3,0.9,7.9
JOOLA Golden Tango,JOOLA,$50.00,8.5,9,5.6,8.7
JOOLA Golden Tango PS,JOOLA,$45.00,8.8,9.4,5.8,9.2
JOOLA Mambo,JOOLA,$37.00,8.1,8,2.4,8.1
JOOLA Mambo C,JOOLA,$34.95,9,8.4,2.3,9
JOOLA Mambo GP,JOOLA,$48.00,8.7,7.8,0.8,8.3
JOOLA Mambo H,JOOLA,$38.00,8.1,8.9,3.9,8.9
JOOLA Maxxx 400,JOOLA,$59.00,9.2,9.3,3.3,9.2
JOOLA Maxxx 450,JOOLA,$60.00,9.1,8.9,0.5,8.9
JOOLA Maxxx 500,JOOLA,$41.00,9.4,9.3,2.4,9.4
JOOLA MAXXX-P,JOOLA,$46.00,9.1,9.3,2.1,9.4
JOOLA Phenix (Phoenix),JOOLA,$45.00,9.2,8.3,2.5,9.1
JOOLA Rhyzer 43,JOOLA,$58.00,8.9,9.1,0.8,9
JOOLA Rhyzer 48,JOOLA,$58.00,9.1,9,0.5,8.8
JOOLA Rhyzer Pro 45,JOOLA,$60.00,9,9.2,1.6,9.2
JOOLA Rhyzer Pro 50,JOOLA,$58.00,9.2,9.1,0.3,9.1
JOOLA Rhyzm,JOOLA,$40.00,9.1,9.1,2.3,9.2
JOOLA Rhyzm 375,JOOLA,$64.00,8.9,9.3,5,8.8
JOOLA Rhyzm 425,JOOLA,$65.00,8.8,9.1,2.5,9.1
JOOLA Rhyzm Tech,JOOLA,$65.00,9,9.2,3.1,8.7
JOOLA Rhyzm-P,JOOLA,$42.00,9.2,9.4,2.3,9.4
JOOLA Samba,JOOLA,$38.00,7.7,8.7,2.4,8.5
JOOLA Samba NTEC,JOOLA,$43.00,7.8,7.1,1.5,7.4
JOOLA Samba Tech,JOOLA,$55.00,9.3,9.1,2,9.2
JOOLA Samba+,JOOLA,$54.95,7.7,8.3,1.7,8.1
JOOLA Smart,JOOLA,$30.00,6.7,6.7,4.3,6.9
JOOLA Tango Extrem,JOOLA,$42.00,8.7,8.2,4.1,8.8
JOOLA Timeless (Anti-spin),JOOLA,$29.00,4.1,2.9,0,8
JOOLA Topspin C,JOOLA,$27.00,6.4,9.2,6.8,8.4
JOOLA Tronix ACC,JOOLA,$46.00,9,9.4,0.4,9.5
JOOLA Tronix CMD,JOOLA,$49.00,8.7,9.1,1.8,9.3
JOOLA Upp,JOOLA,$29.00,7,7.4,5.2,7.2
JOOLA Vizon,JOOLA,$15.00,7.3,7.8,3.5,7.3
JOOLA X-Plode,JOOLA,$54.95,8.8,8.3,3.8,8.8
JOOLA X-Plode Sensitive,JOOLA,$60.00,8.5,8.7,2.2,9.1
JOOLA Zack,JOOLA,$45.00,7.9,8.2,2.2,8.5
Juic 999 Elite,Juic,$35.00,7.8,9.1,6.6,8.4
Juic 999 Elite Defense,Juic,$36.00,5.8,9.4,5.5,9.1
Juic 999 Elite Nano,Juic,$32.00,8,9.5,3.5,7.7
Juic 999 Elite Ultima,Juic,$33.00,8.4,9.1,5.9,8.4
Juic Couga,Juic,$33.00,9.3,7.1,0.5,8
Juic Nanocannon,Juic,$35.00,8.8,8.3,4.8,8.2
Juic Neo Anti (Anti-spin),Juic,$32.00,4.5,3.5,0.4,9
Juic Shenron,Juic,$40.00,9,9.1,3.8,8.2
Juic SpinSpiel,Juic,$31.00,7.9,9.3,8,8.5
Juic Varites,Juic,$40.00,8.7,7.8,1.8,8.5
Killerspin Fortissimo,Killerspin,$52.00,9.5,8.9,2.6,9.3
Killerspin Nitrx 4z,Killerspin,$22.95,8.4,8,3,8.2
Kokutaku 007,Kokutaku,$10.00,7.8,9,7.6,8.7
Kokutaku 007 Pro. Selected,Kokutaku,$15.00,8.1,9,7,9.2
Kokutaku 868,Kokutaku,$12.00,8.2,8.3,5.9,8.4
Kokutaku 868 Training Rubber,Kokutaku,$6.00,7.8,8.5,5.4,8.9
Kokutaku Blutenkirsche 868 Tokyo,Kokutaku,$12.00,8.3,8.2,2.3,8.4
Kokutaku Blutenkirsche 868 Tokyo (Hercules Black Sponge Pre Tune),Kokutaku,$12.00,8.5,8.8,0.5,9
Kokutaku Blutenkirsche 868 Tokyo Super Tacky (yellow Pack),Kokutaku,$13.00,6,6.2,8.5,7.3
Kokutaku BLutenkirsche 868 Tokyo Super Tacky Japanese,Kokutaku,$10.00,7.5,8.8,7.6,8.3
Kokutaku Explosion Blutenkirsche 868,Kokutaku,$14.00,8,9,7.4,8
Kokutaku Tokyo 730,Kokutaku,$6.00,9.1,9,4.3,9.2
Kokutaku Tokyo 868,Kokutaku,$10.00,8.2,8.9,7.3,8.3
Kokutaku Tuple 007 Non-Tacky,Kokutaku,$20.00,8.8,8.6,1.2,8.7
Kokutaku Tuple 007 Tacky,Kokutaku,$20.00,8.9,8.5,6.3,8.5
Loki Arthur Asia,Loki,$20.00,8.4,9,6.8,8.9
Loki Arthur China,Loki,$18.00,8.5,9.2,7.6,9.2
Loki Arthur Europe,Loki,$18.00,8.7,9.1,4.6,8.8
Loki GTX Pro,Loki,$18.00,8.5,9,5.9,9
Loki N80,Loki,$19.00,8.9,9,6.9,9.1
Loki RXTON 3,Loki,$9.00,8.3,8.7,5.7,8.7
Loki RXTON 3 Pink Or Blue,Loki,$12.00,8.4,8.3,3.8,8
Loki RXTON 3 Pro,Loki,$10.00,8.7,9,5.3,9.2
Loki RXTON 5,Loki,$25.00,8.6,8.7,5.3,8.5
Loki RXTON 5 Pro,Loki,$10.00,7.8,8.4,5,8.3
Loki RXTON 7,Loki,$25.00,7.2,8.1,5.6,8.3
Loki RXTON 9,Loki,$17.00,7.4,8.9,6.2,8.3
Loki RXTON I,Loki,$6.00,7.6,8.1,3.8,8.2
Loki T3,Loki,$8.00,8.5,7.4,1.7,8.3
Nittaku Alhelg,Nittaku,$45.00,9.1,9.2,2.3,8.9
Nittaku Alhelg SR,Nittaku,$60.00,9.1,9.4,4.3,9.2
Nittaku Best Anti (Anti-spin),Nittaku,$24.00,4.1,2.6,0.2,8.3
Nittaku DHS Hurricane 3,Nittaku,$50.00,8.3,9.3,8.2,8.9
Nittaku Factive,Nittaku,$40.00,8.5,8.6,1.6,9
Nittaku Fastarc C-1,Nittaku,$45.00,9,9.1,2,9.2
Nittaku Fastarc G-1,Nittaku,$41.00,9,9.3,2.3,9.4
Nittaku Fastarc P-1,Nittaku,$49.00,9.3,9.3,2.9,9.3
Nittaku Fastarc S-1,Nittaku,$42.00,9.1,8.9,1.9,9.3
Nittaku Flyatt Hard,Nittaku,$25.00,9,8.8,2.6,9
Nittaku Flyatt Soft,Nittaku,$46.00,8.5,8.2,0.9,8.5
Nittaku Flyatt Spin,Nittaku,$25.00,8.9,9.2,2.1,9.3
Nittaku Galze,Nittaku,$55.00,8.8,9.1,1.5,9.3
Nittaku Genextion,Nittaku,$64.00,9.6,9.6,2.2,9.4
Nittaku Goriki Kaisoku,Nittaku,$38.00,9.4,9.1,1.6,9.3
Nittaku Hammond,Nittaku,$38.00,9.1,8.5,1,8.8
Nittaku Hammond CR,Nittaku,$35.00,8.9,8.8,2.2,9.2
Nittaku Hammond Power,Nittaku,$43.00,9.2,9,2.1,9.2
Nittaku Hammond Pro Alpha,Nittaku,$38.00,9,7.4,2.1,8.1
Nittaku Hammond Pro Beta,Nittaku,$49.00,8.9,8.7,1.9,9.2
Nittaku Hammond X,Nittaku,$43.00,8.9,8.7,3.1,8.8
Nittaku Hammond Z2,Nittaku,$59.00,9.3,9.3,2.1,9.5
Nittaku Hurricane 2 (H2) Pro,Nittaku,$40.00,8.3,9.4,7.4,8.8
Nittaku Hurricane 3 (H3),Nittaku,$35.00,8.7,9.2,6.3,8.9
Nittaku Hurricane 3 (H3) Pro,Nittaku,,8.1,9.1,7.5,8.6
Nittaku Hurricane 3 NEO,Nittaku,$40.00,8.2,9.3,7.8,9
Nittaku Hurricane Pro III Turbo Blue,Nittaku,$45.00,8.8,9.5,8.6,9.4
Nittaku Hurricane Pro III Turbo Orange,Nittaku,$55.00,8.6,9.3,8.5,9.2
Nittaku J.O. Waldner,Nittaku,$29.00,8.3,8.7,3.5,9.2
Nittaku Magic Carbon,Nittaku,$25.00,7.8,8,2.8,8.6
Nittaku Micro,Nittaku,$35.00,8.2,8,3,7.7
Nittaku Moristo 2000,Nittaku,$35.00,9.3,8.8,1,8.8
Nittaku Moristo DF,Nittaku,$27.00,8.4,8.4,4.4,8.5
Nittaku Moristo RS Soft,Nittaku,$44.00,9.1,8.2,3.6,9.1
Nittaku Narucross EX Hard,Nittaku,$50.00,9.2,8.9,3.3,9.3
Nittaku Narucross EX Soft,Nittaku,$39.00,8.8,9.3,2.5,9.1
Nittaku Narucross GS Soft,Nittaku,$55.00,8.9,9.1,5.8,9.1
Nittaku Narucross GS Super-Soft,Nittaku,$53.00,8,9.1,3,8.9
Nittaku Nodias,Nittaku,$38.00,7.5,8.4,3,7.9
Nittaku Refoma,Nittaku,$44.00,8.2,8.3,1.2,8.5
Nittaku Renanos Bright Soft,Nittaku,$48.00,8.5,8.4,3.3,9.1
Nittaku Renanos Hold,Nittaku,$40.00,8.9,9.4,4.1,9.4
Nittaku Renanos Soft,Nittaku,$34.00,8.6,9,2,9.2
Nittaku Revspin,Nittaku,,8.4,9.2,2.6,9.3
Nittaku Sieger PK50,Nittaku,$52.00,8.6,9.2,6.1,9.4
Nittaku Skyline TG3,Nittaku,,9.3,9.5,8.3,9.3
Nittaku Soulspin Project 12 (P12),Nittaku,$60.00,8.7,9.2,2,9
Nittaku Zalt,Nittaku,$30.00,8.6,8.6,1.7,8.5
Palio Aeolus,Palio,$53.00,9.3,9.2,4.4,9.4
Palio AK 47 Blue,Palio,$13.00,8.9,8.6,0.7,8.9
Palio AK 47 Red,Palio,$18.00,9.1,8.4,0.6,8.7
Palio AK 47 Yellow Sponge,Palio,$12.00,8.6,8.4,0.7,8.7
Palio AK47 Biotech,Palio,$14.00,7,9.5,7,9.6
Palio Amigo,Palio,$10.00,7.2,7.3,4.4,8
Palio Blitz,Palio,$55.00,9.1,9,2.1,9.1
Palio CJ8000,Palio,$15.00,7,8.6,8,8.2
Palio CJ8000 2-Side Loop,Palio,$8.00,7.2,7.9,3.1,8.3
Palio CJ8000 36-38°,Palio,$11.00,8,8.3,4.1,8.5
Palio CJ8000 38-41°,Palio,$16.00,8.1,8.1,5.8,8.3
Palio CJ8000 Allround,Palio,$16.00,7.6,7.8,9.3,6.7
Palio CJ8000 Biotech 36-38°,Palio,$16.00,7.6,8.5,4.6,8.8
Palio CJ8000 Biotech 36-38° Japanese Sponge,Palio,$12.00,7.6,8.7,2.6,8.8
Palio CJ8000 Biotech 39-41°,Palio,$8.50,7.1,8.6,2.5,8.7
Palio CJ8000 Biotech 40-42°,Palio,$16.00,8.3,8.9,2.4,8.9
Palio CJ8000 Biotech 42-44°,Palio,$10.00,8.1,9.3,5,8.8
Palio CJ8000 Biotech 42-44° Japanese Sponge,Palio,$11.50,7.7,8.9,2.4,9.1
Palio CJ8000 Extreme Spin,Palio,$16.00,8.3,9,6.4,8.8
Palio CJ8000 Light and Fast,Palio,$7.00,8,8.7,4.3,8
Palio CJ8000 Provincial,Palio,$30.00,8.7,9.1,5.6,9.5
Palio Drunken Dragon,Palio,$8.00,8,7.5,6.5,8.5
Palio Emperor Dragon,Palio,$9.00,7.8,9.1,6,9
Palio Hadou 40+,Palio,$19.00,8.7,9,3.7,9
Palio Hadou Biotech,Palio,$10.00,8.8,9.2,7.2,8.4
Palio Hidden Dragon,Palio,$14.00,8,9,2.6,8.8
Palio Hidden Dragon Biotech,Palio,$12.00,8.3,8.8,0.6,9
Palio Hidden Dragon Biotech Upgrade,Palio,$12.00,8.2,9,0,8.7
Palio HK1997 Biotech,Palio,$27.00,8.3,8.7,2.1,8.9
Palio HK1997 Gold,Palio,$17.00,8.8,8.9,3.2,8.8
Palio Macro Era,Palio,$25.00,9.3,8.6,1.7,9.2
Palio Macro Pro,Palio,$30.00,8.3,8.2,2.6,8.2
Palio The Way 40+,Palio,$15.00,8.6,9.4,2.8,9.4
Palio Thors,Palio,$30.00,8.7,9.3,6.4,9
Palio Wildish Dragon,Palio,$14.00,8.9,9,6.5,8.2
Reactor Ckylin Blue Sponge,Reactor,$15.00,8.2,7.7,4.8,8.3
Reactor Ckylin New (Blue Sponge),Reactor,$11.00,8,8,5,8.3
Reactor Corbor,Reactor,$5.00,7,8.7,7,8.4
Reactor Corbor Pro,Reactor,$7.00,6,7.3,4.3,6.9
Reactor Corbor T,Reactor,$4.00,7.4,8,3.5,7.9
Reactor Novar,Reactor,$10.00,7.1,9.2,7,8.8
Reactor Thunder,Reactor,$12.00,8.9,8.9,6.6,9
Reactor Thunder Black Sponge,Reactor,$13.00,8.3,9.2,4.8,8.5
Reactor Tornado,Reactor,$15.00,8,9.2,5.8,8.4
Reactor Tornado V5,Reactor,$6.00,8.1,8.7,4.5,8.7
Sanwei AU Golden Blue/Pink,Sanwei,$12.00,8.9,9.2,2,9.2
Sanwei Gear Hyper,Sanwei,$30.00,8.6,8.4,1.9,8.5
Sanwei Gear Hyper Hard,Sanwei,$45.00,8.5,9.4,2.5,8.8
Sanwei Gears,Sanwei,$16.00,7.7,8.8,5.2,8.6
Sanwei T88,Sanwei,$14.00,8.5,8.8,5.8,7.9
Sanwei T88-I,Sanwei,$20.00,8.1,8.4,4.5,8.4
Sanwei T88-II,Sanwei,$3.00,7.4,8,7.7,8.3
Sanwei T88-III,Sanwei,$8.00,7.9,8.3,4.2,8.1
Sanwei T88-III 2,Sanwei,$22.00,7.7,8.1,4,7.9
Sanwei Taiji Plus,Sanwei,$18.00,7.4,7.9,5.6,8.7
Sanwei Target,Sanwei,$12.00,8.6,8.3,6.3,8.9
Sanwei Target 3 National Soft (Japanese Sponge),Sanwei,$32.00,8.3,8.9,5,8.5
Sanwei Target 90,Sanwei,$20.00,8.2,8.7,3.8,8.8
Sanwei Target Europe 40+,Sanwei,$31.00,8.3,8.6,1.5,8.3
Sanwei Target National,Sanwei,$20.00,8.6,9.2,8,8.9
Sanwei Target National (New),Sanwei,$40.00,8.8,9.3,8.6,9.3
Sanwei Target National Player Edition,Sanwei,$40.00,8,9.3,7,8.7
Sanwei Target Pro 3 (Nano Penetration),Sanwei,$13.00,8.1,8.6,8.2,7.5
Sanwei Target Pro Blue,Sanwei,$25.00,8.4,8.5,8.5,8.6
Sanwei Ultraspin T88,Sanwei,$15.00,8,8,2.9,8
Sauer & Troger Secret Flow Chop,Sauer & Tröger,$32.00,7.3,9.1,5.9,8.5
Sauer & Troger Super Stop,Sauer & Tröger,$35.00,4.3,1.5,0,8.5
SpinLord Marder,SpinLord,$20.00,6.2,8,3,8.5
SpinLord Marder II,SpinLord,$25.00,7.3,8.3,3.5,8.4
SpinLord Marder III,SpinLord,$30.00,7.9,8.4,3.5,8.9
SpinLord Tiger,SpinLord,$25.00,8,8,2.3,8.9
Stiga Airoc Astro M,Stiga,$60.00,9,8.6,3.1,8.6
Stiga Airoc Astro S,Stiga,$55.00,8.9,9,4.2,9
Stiga Airoc M,Stiga,$37.00,8.8,9,2.6,8.9
Stiga Airoc S,Stiga,$54.00,8.5,9,4.4,9.1
Stiga Almana,Stiga,$32.00,9.1,8.3,2.2,9.1
Stiga Almana Sound,Stiga,$32.00,9.1,8.5,2.1,8.4
Stiga Almana Sound SynergyTech,Stiga,$39.00,9.5,8.7,3.3,9
Stiga Boost TC,Stiga,$50.00,8.7,8.4,1.9,8.7
Stiga Boost TP,Stiga,$58.00,8.9,8.8,2.7,8.9
Stiga Boost TS,Stiga,$50.00,8.8,8.9,2.4,8.9
Stiga Boost TX,Stiga,$55.00,9.3,9,2,9.3
Stiga Calibra LT,Stiga,$53.00,9.3,9.1,4.5,9.2
Stiga Calibra LT Plus,Stiga,$28.00,9.4,9.1,3.3,9.2
Stiga Calibra LT Sound,Stiga,$42.00,9.1,8.7,2,8.7
Stiga Calibra LT Spin,Stiga,$40.00,9.1,9.1,2.4,9.2
Stiga Calibra Tour H,Stiga,$49.00,9.2,8.1,0.6,8.2
Stiga Calibra Tour M,Stiga,$50.00,9.2,8.6,0.5,8.9
Stiga Calibra Tour S,Stiga,$55.00,8.7,8.3,0.4,8.3
Stiga Carbo,Stiga,$18.00,8.4,7.9,3.5,8.3
Stiga Carbo MC,Stiga,$33.00,8.2,8.7,5.5,9.1
Stiga Carbo Sound,Stiga,$36.00,9.2,8.6,2.1,9
Stiga China Extreme,Stiga,$29.00,7,9.2,8,7.4
Stiga Chop & Drive,Stiga,$25.00,6.3,8.9,6.1,8.4
Stiga Cobra 2000,Stiga,$25.00,6.7,7.3,1.8,7.2
Stiga DNA Dragon Grip,Stiga,$60.00,8.4,8.9,5.4,7.9
Stiga DNA Dragon Power 55,Stiga,$69.00,9.5,9.7,2.8,9.7
Stiga DNA Platinum H,Stiga,$65.00,9.3,8.3,1,9.1
Stiga DNA Platinum M,Stiga,$65.00,8.9,8.8,1.1,8.6
Stiga DNA Platinum XH,Stiga,$65.00,9.5,8.7,0,9.3
Stiga DNA Pro H,Stiga,$55.00,8.8,8.6,1.9,8.4
Stiga DNA Pro M,Stiga,$50.00,8.8,9,2.1,8.9
Stiga DNA Pro S,Stiga,$50.00,8.5,8.7,2.4,8.6
Stiga Drive,Stiga,,6.2,6.3,4.7,7.1
Stiga Energy Absorber (Anti-spin),Stiga,$28.00,6,2.9,2,8
Stiga Evo,Stiga,$25.00,8,7.6,2,8.1
Stiga Genesis II M,Stiga,$46.00,8.3,8.9,7.4,8.3
Stiga Genesis M,Stiga,$30.00,8.8,8.9,4.6,8.7
Stiga Genesis S,Stiga,$45.00,8.5,8.9,4.3,8.7
Stiga Innova,Stiga,$31.00,7.9,8.2,1.8,8.2
Stiga Innova Premium,Stiga,$34.00,7,6.3,2.3,7.5
Stiga Innova Ultra Light,Stiga,$30.00,8.2,8.2,1.5,8.3
Stiga Innova Ultra Light SynergyTech,Stiga,$35.00,7.9,7.9,2.6,8.2
Stiga Magna,Stiga,$37.00,8.4,8.7,4,8.6
Stiga Magna TC II (2),Stiga,$40.00,9,8.5,2.8,8.9
Stiga Magna TS II (2),Stiga,$40.00,8.2,8.5,1.3,8.6
Stiga Magna TX,Stiga,$55.00,9.1,9.3,2.9,9.3
Stiga Mantra H,Stiga,$29.00,9.4,9.1,2,9.2
Stiga Mantra M,Stiga,$47.00,9.1,9,1.6,9.1
Stiga Mantra PRO M,Stiga,$50.00,8.5,8.4,1.6,8.2
Stiga Mantra S,Stiga,$58.00,8.7,9,3.3,9
Stiga Mantra Sound,Stiga,$45.00,8.6,9.2,2,9.2
Stiga Mendo,Stiga,$30.00,7.4,7.7,1.8,8.2
Stiga Mendo Energy,Stiga,$28.00,7.7,7.9,4.4,8.2
Stiga Mendo MP,Stiga,$33.00,8.4,8,0.9,8.4
Stiga Neos,Stiga,$24.00,8.4,7.7,4.1,7.7
Stiga Neos Sound,Stiga,$37.00,8.4,7.2,2.7,7.4
Stiga Neos Sound SynergyTech,Stiga,$45.00,8.3,8.6,1.4,8.7
Stiga Neos SynergyTech,Stiga,$50.00,8,8.3,5,7.8
Stiga Neos Tacky,Stiga,$37.00,7.6,9.1,7.5,8.9
Stiga Optimum MP,Stiga,$38.00,8.6,8.2,2.4,8.4
Stiga Power LT,Stiga,$30.00,9,8.9,1.7,9
Tibhar 1Q,Tibhar,$40.00,8.7,8.9,3.2,9.2
Tibhar 1Q XD,Tibhar,$55.00,9.4,9.1,3.5,9.4
Tibhar 5Q,Tibhar,$41.00,8.8,9.3,2.7,9.4
Tibhar 5Q Sound,Tibhar,$45.00,8.3,9.1,1.6,9.2
Tibhar 5Q Update,Tibhar,$58.00,9.1,9.1,2.4,9.4
Tibhar 5Q VIP,Tibhar,$42.00,8.6,9.3,1.8,9.2
Tibhar Aurus,Tibhar,$45.00,8.9,9,2.2,9.2
Tibhar Aurus Prime,Tibhar,$49.00,9.4,9.3,2.2,9.3
Tibhar Aurus Select,Tibhar,$45.00,8.8,8.9,2.3,8.8
Tibhar Aurus Soft,Tibhar,$45.00,8.6,9.1,2.4,8.9
Tibhar Aurus Sound,Tibhar,$45.00,8.5,9,2.2,9
Tibhar Aurus TC-1,Tibhar,$28.00,8.8,9.5,2,9.4
Tibhar Dang,Tibhar,$31.00,6.4,7.5,7.7,6.6
Tibhar Evolution EL-D,Tibhar,$50.00,9.3,9,1.6,8.9
Tibhar Evolution EL-P,Tibhar,$40.00,9.1,9.2,2.2,9.3
Tibhar Evolution EL-S,Tibhar,$40.00,8.7,9,2.3,8.9
Tibhar Evolution FX-P,Tibhar,$60.00,8.6,9.1,2,9.1
Tibhar Evolution FX-S,Tibhar,$60.00,8.7,9.2,1.3,9.2
Tibhar Evolution MX-D,Tibhar,$65.00,9.3,9.1,1.8,9.2
Tibhar Evolution MX-P,Tibhar,$60.00,9.5,9.3,2.3,9.4
Tibhar Evolution MX-P 50,Tibhar,$65.00,9.3,9.4,2.3,9.4
Tibhar Evolution MX-S,Tibhar,$59.00,9.2,9.5,2.4,9.4
Tibhar Genius,Tibhar,$47.00,8.9,9.3,2.8,9.3
Tibhar Genius Sound,Tibhar,$46.00,8.7,9.5,2.7,9.4
Tibhar Genius+ Optimum,Tibhar,$50.00,9,9.3,2.7,9.1
Tibhar Genius+ Optimum Sound,Tibhar,$57.00,8.8,8.8,1.3,8.5
Tibhar Grip-S,Tibhar,$45.00,8.6,9.2,6.8,9.4
Tibhar Grip-S Europe,Tibhar,$45.00,8.6,9.3,5.9,9.2
Tibhar Grip-S Europe Soft,Tibhar,$45.00,8.4,9.3,5.1,9.3
Tibhar Hybrid K1,Tibhar,$56.00,8.6,9.4,8.2,9.2
Tibhar Hybrid K1 European Version,Tibhar,$41.00,9.1,9.5,5.5,9.5
Tibhar Hybrid K2,Tibhar,$45.00,8.6,9.3,8.1,9.1
Tibhar Hybrid K3,Tibhar,$49.00,8.8,9.2,4.6,9.3
Tibhar Hybrid MK,Tibhar,$49.00,8.9,9.1,2.5,9.5
Tibhar Hybrid MK FX,Tibhar,$50.00,8.6,9.1,1.6,9.2
Tibhar Hybrid MK Pro,Tibhar,$67.00,9.3,9.5,2.2,9.3
Tibhar K3,Tibhar,,8.4,9,6.5,8.8
Tibhar Legend Destroyer,Tibhar,$14.00,7.5,8.4,7.2,8.8
Tibhar Nianmor,Tibhar,$80.00,9.3,9.2,2.8,9.4
Tibhar Nimbus,Tibhar,$55.00,9.1,8.6,3.4,8.6
Tibhar Nimbus Soft,Tibhar,$45.00,8.3,8.6,1.6,8.7
Tibhar Nimbus Sound,Tibhar,$54.00,8.6,8.2,0.8,8.7
Tibhar Nimbus VIP,Tibhar,$40.00,9.4,8.8,4,8.9
Tibhar Phantom,Tibhar,$12.00,6.9,7.1,3.5,7.3
Tibhar Phantom X-Press,Tibhar,$9.00,8.5,8.8,5.8,8.8
Tibhar Primus,Tibhar,$59.00,9,9.1,1.8,9.1
Tibhar Quantum,Tibhar,$56.00,8.4,8.9,1.6,8.8
Tibhar Quantum S,Tibhar,$62.00,8.8,9.4,1.8,9.3
Tibhar Quantum X Pro,Tibhar,$42.00,8.9,8.1,3,8.7
Tibhar Quantum X Pro Soft,Tibhar,$52.00,8.3,8.3,0.5,8.4
Tibhar Rapid,Tibhar,$28.00,8.3,8.2,3.2,8.9
Tibhar Rapid D.TecS,Tibhar,$48.00,8.8,8.3,2.5,8.5
Tibhar Rapid Soft,Tibhar,$35.00,6,6.7,3.8,8.3
Tibhar Rapid X-Press,Tibhar,$44.00,9.2,9.2,3.8,9.4
Tibhar Rookie D.TecS,Tibhar,$40.00,6.7,6.9,3.5,7.8
Tibhar Sinus,Tibhar,$60.00,8.9,9,3.1,9.1
Tibhar Sinus Alpha,Tibhar,$46.00,8.5,9,1.1,9.1
Tibhar Sinus Sound,Tibhar,$40.00,8.4,8.4,1.6,8.9
Tibhar Speedy Spin,Tibhar,$49.00,7.7,7.5,4.5,8.5
Tibhar Speedy Spin Premium,Tibhar,$41.95,5.7,6.6,4.3,8.2
Tibhar Super Defense 40,Tibhar,$39.00,6.3,8.7,2,8.8
Tibhar Torpedo,Tibhar,$28.00,8.6,8.2,3.7,7.9
Tibhar Vari Spin,Tibhar,$33.00,7.6,8.6,3.3,8.7
Tibhar Vari Spin D.TecS,Tibhar,$40.00,7,7.7,3.2,7.4
Tibhar Volcano,Tibhar,$24.00,7.2,7.2,2.7,8
TSP Agrit,TSP,$49.00,8.9,9.3,1.3,9.2
TSP Agrit Speed,TSP,$60.00,9,9,3.1,9.3
TSP Bjorn,TSP,$61.00,8.7,7.7,2.7,7.4
TSP Regalis Blue,TSP,$42.00,9.3,9.5,2.1,9.3
TSP Regalis Red,TSP,$40.00,9.3,9.4,0.7,9.1
TSP Rise Speed,TSP,$55.00,8.6,8.1,1.6,8.6
TSP Super Ventus,TSP,$34.00,9.2,9.5,1.4,9.4
TSP Triple Spin,TSP,$34.00,7.7,8.4,6.7,8.6
TSP Triple Spin Chop,TSP,$34.00,5.7,9.3,3.5,9.2
TSP Ventus Basic,TSP,$25.00,7.3,7.6,3.5,8.3
TSP Ventus Soft,TSP,$42.00,8.8,9.4,1.6,9.4
TSP Ventus Speed,TSP,$42.00,9.3,9.2,1.3,9.3
TSP Ventus Spin,TSP,$48.00,8.8,9.4,1.4,9.4
TSP XSF-1 21 Offensive Sponge,TSP,$32.00,8.3,7.7,4.5,8.5
Tuttle 2013 Positive Energy,Tuttle,$12.00,8,7.7,2.4,8.3
Tuttle Beijing 2,Tuttle,$15.00,8.5,9.3,7.3,9.1
Tuttle Beijing 3,Tuttle,$15.00,8.3,8.7,7.4,8.9
Tuttle Beijing 3 Tuned,Tuttle,$19.00,7.9,8.6,7,7.7
Tuttle Beijing 4,Tuttle,$12.00,8.3,8.5,2.1,8.9
Tuttle King Of Anti Spin,Tuttle,$10.00,6.3,5,0,6.9
Tuttle Prevention Arc,Tuttle,$11.00,5.4,5.7,0,8.8
Tuttle VIP 2018,Tuttle,$29.00,8.6,9.2,7,9
Tuttle World No.1,Tuttle,$6.00,7.4,8.1,3.1,8
Victas TRIPLE Double Extra,Victas,$33.00,9.2,9.5,9.4,9.5
Victas Triple Extra,Victas,$31.00,9,9.1,6.5,9
Victas V > 01,Victas,$50.00,9.1,8.9,0.6,9
Victas V > 01 Limber,Victas,$36.00,8.7,9.4,1.4,9.4
Victas V > 01 Stiff,Victas,$36.00,9.2,9.3,1.5,9.3
Victas V > 11 Extra,Victas,$50.00,8.8,8.8,2,9.2
Victas V > 15 Extra,Victas,$58.00,9.2,9.2,1.1,9.1
Victas V > 15 Limber,Victas,$36.00,8.8,9.4,1.8,9.3
Victas V > 15 Sticky,Victas,$60.00,8.8,9.1,5,9.3
Victas V > 15 Stiff,Victas,$40.00,8.9,9.3,0.7,9.1
Victas V > 20 Double Extra,Victas,$55.00,9.1,9.5,1.7,9.4
Victas V > 20 Extra,Victas,$50.00,9.3,9.3,2.3,9.2
Victas V > 22 Double Extra,Victas,$42.00,9.2,9.5,2.8,9.5
Victas Ventus Extra,Victas,$36.00,9.2,9.4,0.9,9.4
Victas Ventus Stiff,Victas,$36.00,8.8,9,0,9
Victas VJ > 07 Limber,Victas,$34.00,8.8,9.2,0.3,9.4
Victas VJ > 07 Regular,Victas,$35.00,8.2,9,0.4,9.3
